nd_id,nd,color,price_co2,price_co2_yr2020,price_co2_yr2025,price_co2_yr2030,price_co2_yr2035,price_co2_yr2040,price_co2_yr2045,price_co2_yr2050
0,AT0,#80A06F,7.67916666666667,15.0,22.0,33.0,42.0,50.0,69.0,88.0
1,CH0,#FF624C,60.0,67.3208333333333,74.3208333333333,85.3208333333333,94.3208333333333,102.320833333333,121.320833333333,140.320833333333
2,DE0,#B57CE5,7.67916666666667,15.0,22.0,33.0,42.0,50.0,69.0,88.0
3,FR0,#AAFF90,7.67916666666667,15.0,22.0,33.0,42.0,50.0,69.0,88.0
4,IT0,#E5853B,7.67916666666667,15.0,22.0,33.0,42.0,50.0,69.0,88.0
5,IND_RUR,#472503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,IND_SUB,#041FA3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,IND_URB,#484A4B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,MFH_RUR_0,#924C04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,MFH_RUR_1,#924C04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,MFH_RUR_2,#924C04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,MFH_RUR_3,#924C04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,MFH_SUB_0,#0A81EE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,MFH_SUB_1,#0A81EE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,MFH_SUB_2,#0A81EE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,MFH_SUB_3,#0A81EE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,MFH_URB_0,#BDC3C5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,MFH_URB_1,#BDC3C5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,MFH_URB_2,#BDC3C5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,MFH_URB_3,#BDC3C5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,OCO_RUR,#6D3904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,OCO_SUB,#0A31EE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,OCO_URB,#818789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,SFH_RUR_0,#BD6104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,SFH_RUR_1,#BD6104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,SFH_RUR_2,#BD6104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,SFH_RUR_3,#BD6104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,SFH_SUB_0,#0EBADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,SFH_SUB_1,#0EBADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,SFH_SUB_2,#0EBADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,SFH_SUB_3,#0EBADF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,SFH_URB_0,#A9A4D8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,SFH_URB_1,#A9A4D8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,SFH_URB_2,#A9A4D8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,SFH_URB_3,#A9A4D8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
