pp_id,pp,nd_id,fl_id,pt_id,set_def_pr,set_def_cain,set_def_ror,set_def_pp,set_def_st,set_def_hyrs,set_def_chp,set_def_add,set_def_rem,set_def_sll,set_def_curt,set_def_lin,set_def_scen,set_def_winsol,set_def_tr,set_def_peak
0,DE_HYD_RES,2,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0
1,AT_HYD_RES,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0
2,CH_HYD_RES,1,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0
3,IT_HYD_RES,4,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0
4,FR_HYD_RES,3,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0
5,DE_HYD_ROR,2,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0
6,AT_HYD_ROR,0,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0
7,IT_HYD_ROR,4,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0
8,CH_HYD_ROR,1,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0
9,FR_HYD_ROR,3,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0
10,AT_GAS_LIN,0,2,12,0,0,0,1,0,0,1,0,0,0,0,1,0,,0,0
11,CH_GAS_LIN,1,2,12,0,0,0,1,0,0,1,0,0,0,0,1,0,,0,0
12,DE_GAS_LIN,2,2,12,0,0,0,1,0,0,1,0,0,0,0,1,0,,0,0
13,FR_GAS_LIN,3,2,12,0,0,0,1,0,0,1,0,0,0,0,1,0,,0,0
14,IT_GAS_LIN,4,2,12,0,0,0,1,0,0,1,0,0,0,0,1,0,,0,0
15,AT_GAS_NEW,0,2,13,0,0,0,1,0,0,1,0,0,0,0,0,0,,0,0
16,CH_GAS_NEW,1,2,13,0,0,0,1,0,0,1,0,0,0,0,0,0,,0,0
17,DE_GAS_NEW,2,2,13,0,0,0,1,0,0,1,0,0,0,0,0,0,,0,0
18,FR_GAS_NEW,3,2,13,0,0,0,1,0,0,1,0,0,0,0,0,0,,0,0
19,IT_GAS_NEW,4,2,13,0,0,0,1,0,0,1,0,0,0,0,0,0,,0,0
20,AT_HCO_LIN,0,0,10,0,0,0,1,0,0,1,0,0,0,0,1,0,,0,0
21,DE_HCO_LIN,2,0,10,0,0,0,1,0,0,1,0,0,0,0,1,0,,0,0
22,FR_HCO_LIN,3,0,10,0,0,0,1,0,0,1,0,0,0,0,1,0,,0,0
23,IT_HCO_LIN,4,0,10,0,0,0,1,0,0,1,0,0,0,0,1,0,,0,0
24,DE_LIG_LIN,2,1,11,0,0,0,1,0,0,1,0,0,0,0,1,0,,0,0
25,DE_WIN_ONS,2,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
26,AT_WIN_ONS,0,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
27,IT_WIN_ONS,4,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
28,CH_WIN_ONS,1,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
29,FR_WIN_ONS,3,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
30,FR_WIN_OFF,3,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
31,DE_WIN_OFF,2,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
32,DE_SOL_PHO,2,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
33,AT_SOL_PHO,0,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
34,IT_SOL_PHO,4,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
35,CH_SOL_PHO,1,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
36,FR_SOL_PHO,3,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
37,DE_NUC_ELC,2,3,5,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0
38,CH_NUC_ELC,1,3,5,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0
39,FR_NUC_ELC,3,3,5,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0
